transporte;viajeros_tasas;periodo;total
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2004M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2003M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2002M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2001M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;2000M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1999M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1998M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1997M01;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M12;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M11;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M10;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M09;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M08;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M07;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M06;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M05;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M04;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M03;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M02;""
Transporte interurbano regular por autobús: Media distancia;Variación anual;1996M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M08;-46,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M07;-46,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M06;-46,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M05;-42
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M04;-31,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M03;-11,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M02;7,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2020M01;7,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M12;0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M11;-0,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M10;-0,9
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M09;-2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M08;-3,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M07;-3,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M06;-3,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M05;-2,9
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M04;-2,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M03;-2,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M02;-2,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2019M01;-1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M12;1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M11;1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M10;1,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M09;1,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M08;1,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M07;1,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M06;1,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M05;1,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M04;1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M03;0,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M02;3,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2018M01;8,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M12;1,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M11;1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M10;1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M09;0,9
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M08;1,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M07;1,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M06;1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M05;1,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M04;1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M03;2,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M02;0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2017M01;1,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M12;-0,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M11;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M10;-0,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M09;0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M08;-0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M07;-0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M06;0,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M05;0,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M04;0,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M03;-0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M02;0,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2016M01;-1,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M12;0
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M11;-0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M10;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M09;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M08;-0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M07;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M06;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M05;-0,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M04;-0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M03;0
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M02;-0,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2015M01;-2,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M12;-0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M11;-0,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M10;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M09;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M08;-0,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M07;-0,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M06;-0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M05;-0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M04;-0,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M03;0,9
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M02;-1,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2014M01;-0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M12;-3,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M11;-4,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M10;-4,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M09;-4,9
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M08;-5,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M07;-5,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M06;-5,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M05;-5,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M04;-5,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M03;-7,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M02;-5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2013M01;-2,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M12;-1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M11;-0,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M10;0
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M09;0
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M08;0,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M07;0,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M06;0,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M05;1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M04;1,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M03;1,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M02;3,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2012M01;2,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M12;-0,9
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M11;-0,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M10;-0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M09;0
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M08;0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M07;0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M06;-0,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M05;-0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M04;-0,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M03;1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M02;1,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2011M01;2,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M12;1,9
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M11;1,7
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M10;1,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M09;1,2
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M08;0,3
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M07;0
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M06;0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M05;0,5
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M04;0,8
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M03;0,1
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M02;-0,6
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2010M01;-3,4
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2009M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2008M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2007M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2006M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2005M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2004M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2003M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2002M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M11;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M10;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M09;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M08;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M07;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M06;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M05;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M04;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M03;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M02;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2001M01;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2000M12;""
Transporte interurbano regular por autobús: Media distancia;Variación de la media en lo que va de año;2000M11;""
